LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,default,Total_Bill_Amt,Total_Pay_Amt,Avg_Pay_Delay
-1.1362847692186804,1,2,1,-1.2460775303642493,1,-0.6913195025948466,-0.5094058244362989,-0.15525066806132304
-0.3656191985940322,1,2,2,-1.029141447390224,1,-0.666632151294082,-0.4385627707240757,0.6939181163387838
-0.5968188697814266,1,2,2,-0.1613971154941239,0,-0.44386917000597126,-0.3396684313039505,0.1844168456987197
-0.9050850980312859,1,2,1,0.1640070089669137,0,-0.10230505989880727,-0.38288745966468984,0.1844168456987197
-0.9050850980312859,0,2,1,2.333367838707164,0,-0.423625173196233,0.44962934481569555,-0.15525066806132304
-0.9050850980312859,0,1,2,0.1640070089669137,0,-0.08444735779497886,-0.3930102434936691,0.1844168456987197
2.5629099697796307,0,1,2,-0.7037373229291866,0,6.4646436429173155,2.449700805570669,0.1844168456987197
-0.5197523127189618,1,2,2,-1.3545455718512618,0,-0.6760904120986319,-0.44199728666605076,-0.32508442494134443
-0.21148608446910255,1,3,1,-0.8122053644161991,0,-0.5398503679949994,-0.40962409812207495,0.5240843594587624
-1.1362847692186804,0,3,2,-0.05292907400711135,0,-0.6407095105705011,-0.28854508634947906,-1.5139207231014942
0.25091325790568636,1,3,2,-0.1613971154941239,0,-0.6208289891133186,-0.4143732613145668,0.3542506025787411
0.7133126002804753,1,1,2,1.6825595897850891,0,-0.47885762350851646,0.5689171497094624,-0.32508442494134443
3.5647752115916735,1,2,2,0.5978791749149638,0,-0.6036034180574134,-0.13668689582415897,-0.6647519387013872
-0.7509519839063563,0,2,2,-0.5952692814421741,1,0.1804445239578422,-0.34489415412475477,1.3732531438588693
0.6362460432180105,0,1,2,-0.7037373229291866,0,0.27238271711952866,-0.22493259251509815,0.1844168456987197
-0.9050850980312859,1,3,3,-1.3545455718512618,0,-0.19427485961288993,-0.4188430619663239,0.6939181163387838
-1.1362847692186804,0,1,2,-1.2460775303642493,1,-0.4319956418224818,-0.41637809837160494,1.5430869007388905
1.1757119426552642,0,1,1,1.4656235068110641,0,1.832753432968546,5.426357976372036,-0.32508442494134443
1.4839781709051234,1,1,1,1.4656235068110641,0,-0.711610909233179,-0.5207282238813747,-1.3440869662214727
0.09678014378075674,1,1,2,-0.7037373229291866,0,-0.711610909233179,-0.5207282238813747,-1.3440869662214727
-0.28855264153156734,1,3,2,0.3809430919409388,0,-0.3853180316920914,0.1732576265758045,0.01458308881869833
-0.3656191985940322,1,2,1,0.3809430919409388,1,-0.7066170739545864,-0.49476394068366825,-0.8345856955814086
-0.7509519839063563,1,2,2,-1.029141447390224,1,-0.01238178445237576,-0.33979989602900224,1.5430869007388905
2.1775771844673066,1,1,1,0.4894111334279513,1,-0.6405883521196492,-0.14952113960732907,-1.8535882368615368
-0.5968188697814266,0,1,2,-1.3545455718512618,0,-0.6276849771039182,-0.25122553752543386,0.01458308881869833
-0.9050850980312859,0,3,2,-1.3545455718512618,0,-0.14718373042198313,-0.39105470570852535,0.1844168456987197
-0.8280185409688211,0,1,2,-0.9206734059032116,1,-0.7126486577035195,-0.4796454973027252,-0.6647519387013872
-0.9050850980312859,1,3,2,-0.5952692814421741,0,-0.4159105405322045,-0.40385608331043255,0.1844168456987197
-0.9050850980312859,1,3,1,1.248687423837039,0,-0.6057078876711242,0.12947987313359557,-0.8345856955814086
-0.9050850980312859,0,1,2,-1.029141447390224,0,-0.4559086325895405,-0.41226982571374,0.1844168456987197
0.48211292909308084,1,1,2,-0.9206734059032116,0,-0.4120176668287445,1.0813173486890106,-0.8345856955814086
-0.9050850980312859,0,2,2,-0.26986515698113644,1,-0.3116062837455218,-0.4067811734428324,0.5240843594587624
-0.5197523127189618,0,1,2,-0.37833319846814895,0,0.5927836065180996,-0.21270637308529206,0.1844168456987197
2.5629099697796307,1,2,1,2.007963714246127,0,-0.3804163821913208,2.083949507386268,-1.8535882368615368
2.5629099697796307,0,1,1,2.441835880194177,0,-0.5580083323465913,0.22574491805268712,-1.8535882368615368
-0.0573529703441729,0,1,2,-0.5952692814421741,0,-0.6449421547122197,-0.48326077724164634,-1.3440869662214727
0.867445714405405,0,2,1,0.4894111334279513,0,2.106579433532014,0.1681962346613149,0.1844168456987197
-0.8280185409688211,1,2,2,-1.4630136133382743,0,-0.6265919171668844,0.35596072821637464,0.01458308881869833
-0.9050850980312859,0,1,2,-1.1376094888772366,1,-0.7095564833274289,-0.5079104131888361,-1.00441945246143
0.867445714405405,0,1,2,-0.4868012399551615,0,-0.5755894771169533,0.09316274283806938,-0.15525066806132304
1.4839781709051234,0,1,2,-0.26986515698113644,0,3.636268088642462,3.4863165956937854,0.1844168456987197
-0.7509519839063563,1,1,2,-1.1376094888772366,0,0.32312440311219154,-0.2028793848876791,0.1844168456987197
-1.2133513262811453,0,2,2,-1.4630136133382743,0,-0.6516611809757693,-0.4019662778878147,0.1844168456987197
-0.21148608446910255,1,2,1,0.1640070089669137,0,0.30278558664526484,-0.19206641125217852,0.1844168456987197
-0.9821516550937507,1,1,2,-0.5952692814421741,0,-0.3239433746974882,-0.3070980456723972,0.5240843594587624
0.3279798149681512,0,1,2,-0.7037373229291866,1,-0.711610909233179,-0.5207282238813747,-1.8535882368615368
-1.1362847692186804,1,1,2,-1.4630136133382743,1,-0.502670526859654,-0.19083392945481903,0.3542506025787411
-0.13441952740663773,1,5,2,1.1402193823500264,1,-0.6857014379064298,-0.48485478703289797,-0.32508442494134443
1.638111285030053,0,2,2,-0.37833319846814895,0,-0.4092020497861203,1.0130049909340322,-0.8345856955814086
-1.1362847692186804,0,1,2,-1.2460775303642493,0,-0.40658133981660566,-0.41808713979727674,0.1844168456987197
-0.7509519839063563,0,3,2,0.7063472164019764,1,-0.10842092778746355,-0.38762018976655027,1.712920657618912
-0.5197523127189618,1,3,3,0.8148152578889889,0,-0.013145609468616207,-0.3628719552755718,0.1844168456987197
1.0986453855927993,1,2,1,1.4656235068110641,0,-0.5953909821931453,-0.01675820039576528,-1.8535882368615368
0.09678014378075674,1,1,2,-1.1376094888772366,0,-0.029038437565150222,-0.3523547772714375,0.6939181163387838
-0.13441952740663773,1,1,2,-0.7037373229291866,0,-0.24607009735209134,-0.30928364672638137,0.5240843594587624
2.5629099697796307,1,1,1,1.031751340863014,0,-0.6895179291082657,-0.41419249731762076,-1.8535882368615368
0.09678014378075674,1,3,1,-0.1613971154941239,0,-0.5656834568201247,-0.04122707234600893,-0.32508442494134443
0.09678014378075674,1,2,1,-0.1613971154941239,0,1.7967957118591853,0.039015709207409315,0.1844168456987197
0.25091325790568636,1,1,2,-0.1613971154941239,0,-0.6938401251484401,-0.4895053516816011,1.8827544144989334
1.7922443991549828,1,2,1,-0.7037373229291866,0,5.304538306613225,1.2709552145760568,0.1844168456987197
2.5629099697796307,1,3,1,-0.8122053644161991,1,-0.42267697662434833,-0.37585409687442506,0.1844168456987197
-0.7509519839063563,0,2,1,0.3809430919409388,0,-0.06830694503800828,-0.32155916542808183,0.01458308881869833
-0.9050850980312859,0,1,2,-0.7037373229291866,1,-0.2963166140238811,-0.4200755437636834,2.222421928258976
-0.9050850980312859,1,2,1,1.1402193823500264,1,-0.5591514359915857,-0.5042951332499149,-0.8345856955814086
-0.28855264153156734,1,2,1,1.6825595897850891,0,-0.7051526370268978,-0.4820611616255498,-1.1742532093414513
0.25091325790568636,0,1,1,2.333367838707164,1,0.525353660860266,-0.3642523348886144,-0.32508442494134443
-1.2133513262811453,0,2,1,2.224899797220152,1,-0.6514214979534317,-0.4712646210806807,1.2034193869788479
0.3279798149681512,1,1,2,-0.5952692814421741,0,-0.6889885193556301,-0.3695766562532074,-0.32508442494134443
-0.28855264153156734,1,3,2,-0.7037373229291866,0,-0.6908006283596764,0.15925663335780074,-0.32508442494134443
-1.1362847692186804,0,5,2,-1.4630136133382743,0,-0.47897088032126933,-0.4599257885449734,0.5240843594587624
-0.6738854268438914,0,1,2,-0.4868012399551615,0,-0.7054476315159286,-0.4886836971500281,-0.8345856955814086
1.1757119426552642,0,2,2,-0.7037373229291866,1,0.24225377104789253,-0.29395157316722936,2.222421928258976
0.25091325790568636,1,2,1,-0.37833319846814895,0,-0.6420106469774761,-0.20008575948033092,-0.32508442494134443
0.9445122714678698,1,1,2,0.1640070089669137,0,-0.6970876984071451,-0.4301161621395053,-0.6647519387013872
1.3298450567801938,0,1,2,-0.37833319846814895,0,-0.3370758972180912,1.812721346514024,-0.8345856955814086
-1.1362847692186804,0,2,2,-1.2460775303642493,0,-0.4447251808000338,-0.42886724725151437,0.5240843594587624
-0.9050850980312859,0,3,2,-1.1376094888772366,0,-0.32862904609021837,-0.41624663364655323,0.01458308881869833
1.0215788285303347,1,1,1,1.031751340863014,0,-0.7070121558595382,-0.4920360476388459,-0.8345856955814086
-1.0592182121562155,1,2,2,-1.4630136133382743,1,-0.3186729820854291,-0.38250949858016625,0.1844168456987197
0.5591794861555457,1,2,2,0.9232832993760014,1,-0.711610909233179,-0.5207282238813747,-1.3440869662214727
2.3317102985922364,1,3,3,-0.26986515698113644,0,0.9077587044219969,-0.16041627869598693,0.1844168456987197
1.4839781709051234,1,1,2,-1.029141447390224,0,0.0651280175404653,2.130833114957823,0.01458308881869833
-0.8280185409688211,0,3,2,-0.5952692814421741,1,-0.3334753841242957,-0.432893354456222,0.1844168456987197
1.7922443991549828,1,2,1,0.9232832993760014,0,1.1346121003660437,-0.14682611274376967,0.5240843594587624
-0.9050850980312859,1,3,2,1.4656235068110641,0,-0.24409995558606426,-0.42127515937977994,0.1844168456987197
-0.0573529703441729,0,2,2,-0.26986515698113644,0,1.045220868551614,1.1512894485977665,0.1844168456987197
1.4839781709051234,1,1,1,1.031751340863014,1,-0.7023659926573033,-0.48227479180375876,-0.15525066806132304
-0.0573529703441729,1,2,2,-0.37833319846814895,0,-0.6283197420312078,-0.38571395125330094,0.01458308881869833
-0.28855264153156734,1,1,1,-0.05292907400711135,0,-0.11494768085726986,0.4111101803755538,-0.32508442494134443
